INFO:root:Processed IP 10.124.0.71: Fraud Score: 0, Risk: low
INFO:root:Processed IP 104.193.135.196: Fraud Score: 37, Risk: medium
INFO:root:Processed IP 104.193.135.100: Fraud Score: 37, Risk: medium
INFO:root:Processed IP 10.124.1.66: Fraud Score: 0, Risk: low
INFO:root:Processed IP 149.22.81.207: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.0.174: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.122: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.127.67: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.121: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.178: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.127.66: Fraud Score: 0, Risk: low
INFO:root:Processed IP 38.240.225.68: Fraud Score: 37, Risk: medium
INFO:root:Processed IP 38.240.225.36: Fraud Score: 37, Risk: medium
INFO:root:Processed IP 10.124.0.124: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.123: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.127.68: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.241: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.125: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.127.69: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.127.70: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.105: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.127.84: Fraud Score: 0, Risk: low
INFO:root:Processed IP 179.43.189.66: Fraud Score: 40, Risk: medium
INFO:root:Processed IP 10.124.0.106: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.213: Fraud Score: 0, Risk: low
INFO:root:Processed IP 46.19.136.226: Fraud Score: 40, Risk: medium
INFO:root:Processed IP 10.124.1.214: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.215: Fraud Score: 0, Risk: low
INFO:root:Processed IP 138.199.6.233: Fraud Score: 10, Risk: low
INFO:root:Processed IP 10.124.1.216: Fraud Score: 0, Risk: low
INFO:root:Processed IP 138.199.6.207: Fraud Score: 10, Risk: low
INFO:root:Processed IP 138.199.6.194: Fraud Score: 10, Risk: low
INFO:root:Processed IP 138.199.6.220: Fraud Score: 10, Risk: low
INFO:root:Processed IP 10.124.2.6: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.12: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.134.98: Fraud Score: 36, Risk: medium
INFO:root:Processed IP 10.124.2.9: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.8: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.126.162: Fraud Score: 25, Risk: medium
